ID;SchoolCode;SchoolName;Address;City;StateCode;ZipCode;Province;Country;PostalCode
27147;G40214;AMERICAN COLLEGE, DUBLIN LIMITED (THE);2 MERRION SQUARE;DUBLIN 2;FC;00000;;IRELAND;
27148;G40215;CENTRAL EUROPEAN UNIVERSITY;NADOR U. 9;BUDAPEST;FC;00000;;HUNGARY;H-1051
27149;G40323;YORK ST JOHN UNIVERSITY;LORD MAYOR'S WALK;YORK;FC;00000;;ENGLAND;Y031 7EX
27150;G40463;HK UNIVERSITY OF SCI & TECH (HKUST);**;CLEAR WATER BAY;FC;00000;KOWLOON;HONG KONG;
27151;G40703;RAPHAEL RECANATI INTERNATIONAL SCHOOL, T;KANFEI NESHARIM STREET;HERZLIYA;FC;00000;;ISRAEL;46150
27152;G40753;QUEST UNIVERSITY CANADA;3200 UNIVERSITY BLVD;SQUAMISH;CN;00000;BRITISH COLUMBIA;CANADA;V8B 0N8
27153;G40763;NEWCASTLE COLLEGE;RYE HILL CAMPUS;NEWCASTLE UPON TYNE;FC;00000;;ENGLAND;NE4 7SA
27154;G40854;NEW ZEALAND COLLEGE OF CHIROPRACTIC;6 HARRISON ROAD;MT WELLINGTON;FC;00000;AUCKLAND;NEW ZEALAND;1050
27155;G40963;CHARLESTON SCHOOL OF LAW;81 MARY STREET;CHARLESTON;SC;29402;;;
27156;G41004;TAFT UNIVERSITY SYSTEM (THE);3700 SOUTH SUSAN STREET;SANTA ANA;CA;92704;;;
27157;G41133;LEBANESE AMERICAN UNIVERSITY;MME CURIE STREET;BEIRUT;FC;00000;;LEBANON;1102-280
27158;G41144;INSTITUTE OF WORLD POLITICS (THE);1521 16TH STREET, NW;WASHINGTON;DC;20036;;;
27159;G41159;LIVERPOOL HOPE UNIVERSITY;HOPE PARK;LIVERPOOL;FC;00000;;ENGLAND;L16 9JD
27160;G41163;EDHEC BUSINESS SCHOOL;24 AVENUE GUSTAVE DELORY;ROUBAIX CEDEX 1;FC;00000;;FRANCE;59057
27161;G41180;BYZANTINE CATHOLIC SEMINARY OF SAINTS CY;3605 PERRYSVILLE AVENUE;PITTSBURGH;PA;15214;;;
27162;G41212;INSTITUTE OF TAOIST EDUCATION AND ACUPUN;325 WEST SOUTH BOULDER ROAD;LOUISVILLE;CO;80027;;;
27163;G41231;ATLANTIC SCHOOL OF THEOLOGY;660 FRANKLYN STREET;HALIFAX;CN;00000;NOVA SCOTIA;CANADA;B3H 3B5
27164;G41286;UNIVERSITY OF WORCESTER;HENWICK GROVE;WORCESTER;FC;00000;WORCESTERSHIRE;ENGLAND;WR2 6AJ
